X,Y
24,24
40,24
56,24
72,24
88,24
104,24
120,24
136,24
152,24
168,24
184,24
200,24
216,24
232,24
248,24
264,24
280,24
296,24
312,24
328,24
344,24
360,24
376,24
392,24
408,24
424,24
440,24
456,24
472,24
488,24
504,24
520,24
536,24
536,40
536,56
536,72
536,88
536,104
552,104
568,104
584,104
600,104
600,88
600,72
600,56
600,40
600,24
584,24
616,24
632,24
648,24
664,24
680,24
696,24
712,24
728,24
728,40
728,56
728,72
744,72
760,72
760,88
760,104
760,120
760,136
776,136
776,152
776,168
776,184
792,184
808,184
824,184
840,184
856,184
872,184
872,168
872,152
872,136
872,120
872,104
872,88
872,72
872,56
872,40
872,24
888,24
904,24
920,24
936,24
952,24
968,24
984,24
1000,24
1000,40
1000,56
1000,72
1000,88
984,88
968,88
952,88
888,152
904,152
920,152
936,152
952,152
968,152
968,168
984,168
984,184
984,200
984,216
984,232
1000,232
1000,248
1000,264
1000,280
1000,296
1000,312
1000,328
1000,344
1000,360
1000,376
1000,392
984,392
968,392
952,392
936,392
936,376
920,376
904,376
888,376
872,376
872,360
872,344
872,328
872,312
872,296
856,296
840,296
824,296
808,296
808,280
808,264
808,248
792,248
776,248
776,232
760,232
744,232
728,232
712,232
696,232
680,232
680,216
680,200
680,184
680,168
680,152
664,184
648,184
632,184
616,184
600,184
600,200
600,216
600,232
584,232
568,232
552,232
536,232
520,232
536,216
536,200
536,184
536,152
536,136
504,232
488,232
472,232
472,216
456,216
472,200
472,184
472,168
472,152
456,152
456,136
456,120
440,120
440,104
424,104
408,104
392,104
376,104
360,104
344,104
328,104
312,104
440,216
424,216
408,216
392,216
376,216
360,216
360,200
360,184
344,184
344,168
344,152
344,136
296,104
280,104
264,104
248,104
232,104
216,104
200,104
184,104
168,104
152,104
136,104
120,104
120,120
120,136
104,136
88,136
72,136
56,136
40,136
24,136
24,152
24,168
24,184
24,200
24,216
40,216
56,216
72,216
88,216
104,216
120,216
136,216
152,216
168,216
168,232
184,232
200,232
216,232
232,232
248,232
248,248
264,248
264,264
280,264
296,264
312,264
312,280
360,264
344,264
312,296
312,312
312,328
296,328
312,344
280,328
264,328
248,328
232,328
216,328
200,328
184,328
168,328
152,328
136,328
120,328
104,328
104,312
104,296
104,280
104,264
88,328
72,328
56,328
40,328
24,328
24,312
24,296
24,280
24,264
24,248
24,344
24,360
24,376
24,392
24,408
24,424
24,440
24,456
24,472
24,488
24,504
24,520
24,536
40,536
24,552
24,568
24,584
24,600
40,600
40,616
40,632
40,648
56,648
56,664
72,664
88,664
104,664
88,680
88,696
88,712
88,728
72,728
56,728
40,728
40,744
104,728
120,728
136,728
152,728
168,728
184,728
120,664
136,664
152,664
168,664
184,664
184,680
72,536
88,536
104,536
104,520
104,504
104,488
104,472
104,456
104,440
104,424
104,408
104,392
104,376
120,408
136,408
152,408
168,408
184,408
200,408
216,408
232,408
248,408
264,408
312,360
312,408
120,472
136,472
152,472
168,472
184,472
200,472
216,472
232,472
232,456
232,440
248,472
264,472
280,472
280,488
296,488
312,488
328,488
344,488
120,536
136,536
152,536
168,536
184,536
200,536
216,536
232,536
232,552
232,568
248,568
264,568
280,568
296,568
312,568
328,568
344,568
360,568
376,568
392,568
392,552
408,552
360,488
376,488
392,488
408,488
408,504
200,664
216,664
232,664
248,664
248,648
248,632
248,616
136,648
264,648
280,648
296,648
312,648
328,648
344,648
360,648
376,648
392,648
392,632
392,616
376,664
376,680
376,696
376,712
376,728
392,728
408,728
424,728
424,744
440,744
456,744
472,744
488,744
504,744
520,744
520,728
536,728
552,728
568,728
584,728
600,728
616,728
632,728
648,728
664,728
664,712
664,696
664,680
664,664
664,648
680,648
696,648
712,648
728,648
728,664
728,680
728,696
744,696
728,712
728,728
728,744
760,696
776,696
792,696
792,712
792,728
792,744
808,744
824,744
840,744
856,744
872,744
888,744
904,744
920,744
936,744
952,744
968,744
984,744
1000,744
1000,728
1000,712
1000,696
1000,680
984,680
1000,664
968,680
952,680
936,680
936,664
936,648
920,648
904,648
904,632
904,616
888,616
872,616
1000,648
1000,632
1000,616
1000,584
1000,568
1000,552
984,552
1000,536
968,552
952,552
936,552
920,552
904,552
888,552
872,552
872,536
872,520
872,504
872,488
872,472
888,472
888,456
904,456
920,456
936,456
936,440
1000,504
1000,488
1000,472
1000,456
1000,440
728,632
728,616
728,600
728,584
728,568
728,552
744,552
760,552
776,552
792,552
808,552
824,552
840,552
792,568
792,584
792,600
792,616
792,632
792,648
488,248
488,264
488,280
488,296
488,312
488,328
488,344
472,344
456,344
440,344
424,344
424,360
408,360
408,376
408,392
408,408
408,424
408,440
424,440
440,440
456,440
472,440
488,440
504,440
520,440
536,440
552,440
568,440
568,424
584,424
584,408
584,392
584,376
584,360
584,344
584,328
584,312
600,312
600,296
600,280
616,376
632,376
648,376
664,376
680,376
696,376
712,376
712,360
712,344
712,328
712,312
696,312
696,296
680,296
680,280
424,520
440,520
456,520
472,520
488,520
504,520
504,536
504,552
504,568
504,584
504,600
520,600
536,600
552,600
568,600
584,600
600,600
616,600
664,600
648,600
664,584
664,568
664,552
664,536
664,520
664,504
664,488
680,488
696,488
712,488
728,488
728,472
728,456
728,440
744,440
760,440
776,440
776,424
776,408
776,392
776,376
760,376
744,376
520,520
536,520
552,520
568,520
568,536
584,536
600,536
616,536
632,536
552,712
552,696
552,680
552,664
552,648
664,392
664,408
664,424
664,440
696,568
504,456
504,472
872,200
872,216
872,232
888,232
904,232
920,232
936,232
