X,Y
24,24
40,24
56,24
72,24
88,24
104,24
120,24
136,24
152,24
168,24
184,24
200,24
216,24
232,24
248,24
264,24
280,24
296,24
312,24
328,24
344,24
360,24
376,24
392,24
408,24
424,24
440,24
456,24
472,24
488,24
504,24
520,24
536,24
552,24
568,24
584,24
1000,232
984,232
984,248
984,264
968,264
984,280
984,296
984,312
984,328
984,344
1000,344
1000,392
1000,408
1000,424
1000,440
1000,456
1000,472
1000,488
1000,504
1000,520
1000,536
1000,552
1000,568
1000,584
1000,600
1000,616
1000,632
1000,648
984,648
968,648
968,664
952,664
936,664
936,680
936,696
936,712
936,744
952,744
968,744
984,744
1000,744
920,696
904,696
888,696
872,696
872,712
856,712
840,712
824,712
808,712
792,712
776,712
760,712
760,728
760,744
744,744
728,744
712,744
696,744
680,744
664,744
648,744
632,744
616,744
600,744
584,744
568,744
552,744
536,744
520,744
952,264
936,264
920,264
904,264
888,264
872,264
856,264
840,264
824,264
824,248
712,168
696,168
680,168
680,184
680,200
680,216
680,232
680,248
680,264
680,280
680,296
664,296
664,312
648,312
632,312
616,312
600,312
600,296
584,296
568,296
552,296
536,296
520,296
504,296
488,296
472,296
456,296
456,312
456,328
456,360
472,360
488,360
504,360
520,360
520,376
520,392
536,392
552,392
568,392
584,392
600,392
616,392
632,392
648,392
648,408
792,440
808,440
824,440
824,424
824,408
824,392
824,376
824,360
824,344
824,328
824,312
648,424
648,440
648,456
648,472
632,472
616,472
584,472
584,488
568,488
552,488
504,488
520,488
536,488
488,488
472,488
472,472
456,472
456,376
456,392
456,408
456,424
456,440
440,360
392,360
344,424
360,424
376,424
392,424
408,424
424,424
488,504
488,520
488,552
504,552
520,552
536,552
552,552
568,552
584,552
600,552
616,552
632,552
648,552
664,552
680,552
696,552
712,552
728,552
744,552
760,552
776,552
776,536
472,552
456,552
440,552
424,552
408,552
408,536
392,536
376,536
360,536
344,536
328,536
312,536
296,536
296,520
280,520
264,520
248,520
248,504
248,488
248,472
248,456
264,456
264,440
264,424
264,408
264,392
248,392
248,376
248,344
248,328
248,312
248,296
248,280
264,280
280,280
280,264
280,248
280,232
280,216
280,200
264,200
264,184
248,184
248,168
248,152
248,136
248,120
248,104
248,88
232,88
216,88
200,88
184,88
168,88
152,88
136,88
120,88
104,88
88,88
72,88
56,88
40,88
24,88
40,104
40,136
40,152
56,152
72,152
88,152
104,152
120,152
120,168
136,168
152,168
168,168
184,168
200,168
216,168
184,120
168,184
168,200
168,216
168,232
168,248
152,248
136,248
120,248
104,248
88,248
72,248
56,248
40,248
40,232
40,216
40,200
40,184
24,248
24,264
24,280
24,296
24,312
24,328
40,328
56,328
72,328
88,328
104,328
88,312
88,296
120,328
136,328
152,328
168,328
168,312
168,296
168,344
168,360
168,376
168,392
152,392
136,392
120,392
104,392
104,376
88,392
72,392
56,392
56,408
40,408
24,408
24,424
24,440
24,456
24,488
24,504
40,504
40,520
40,536
40,552
40,568
40,584
56,584
72,584
88,584
104,584
120,584
136,584
152,584
152,600
152,616
152,632
168,632
168,648
168,664
168,680
168,696
168,712
168,728
168,744
184,744
200,744
216,744
232,744
248,744
264,744
280,744
296,744
312,744
328,744
344,744
360,744
376,744
392,744
408,744
424,744
440,744
456,744
472,744
488,744
504,744
40,600
40,616
40,632
24,632
24,648
24,664
24,680
24,696
40,696
40,712
40,728
40,744
56,744
72,744
88,744
104,744
120,744
136,744
152,744
312,728
312,712
312,696
312,680
312,664
328,664
344,664
360,664
376,664
392,664
408,664
424,664
440,664
440,680
456,680
456,696
600,712
600,696
600,664
600,648
600,632
600,616
600,600
760,568
760,584
760,600
760,616
760,632
760,648
760,664
984,472
968,472
952,472
920,472
904,472
904,488
904,504
904,536
904,552
904,568
920,568
936,568
952,568
968,568
904,440
904,424
904,408
904,392
904,376
904,360
904,344
920,344
920,328
920,312
920,408
936,408
952,408
616,616
632,616
648,616
664,616
680,616
680,632
680,648
680,664
680,680
696,680
712,680
728,680
232,472
216,472
200,472
184,472
168,472
152,472
152,456
152,440
296,232
312,232
328,232
344,232
360,232
360,216
360,200
360,184
360,168
344,168
344,152
344,136
344,120
344,104
360,104
376,104
392,104
408,104
424,104
440,104
456,104
472,104
488,104
504,104
504,88
504,72
424,88
424,72
376,184
392,184
408,184
424,184
440,184
456,184
472,184
488,184
504,184
520,184
536,184
536,168
552,168
568,168
584,168
584,152
584,136
584,120
584,104
328,120
312,120
296,120
280,120
664,392
680,392
696,392
712,392
728,392
728,376
728,360
744,360
760,360
760,344
760,328
776,328
792,328
776,440
776,456
776,472
776,488
792,504
808,504
824,504
840,504
856,504
872,504
888,504
728,472
808,248
792,248
776,248
776,232
776,216
728,168
728,152
744,152
760,152
776,152
792,152
808,152
824,152
824,168
840,168
840,184
856,184
872,184
888,184
888,200
888,216
904,104
904,40
920,40
936,40
952,40
968,40
984,40
1000,40
920,104
936,104
952,104
968,104
968,120
984,120
984,136
1000,136
984,152
984,168
984,184
984,200
968,56
968,72
968,88
408,296
392,296
376,296
360,296
392,328
392,344
376,360
360,360
344,360
376,376
296,680
280,680
264,680
248,680
456,136
216,344
776,56
760,56
744,56
728,56
712,56
696,56
776,72
776,88
776,104
776,120
552,88
248,696
248,712
792,24
808,24
824,24
840,24
856,24
872,24
888,24
888,40
888,56
888,72
888,88
888,104
584,40
584,56
600,56
616,56
632,56
648,56
664,56
680,56
680,72
792,56
